Date;High (kg);Low (kg);Close (kg);;High (troy oz);Low (troy oz);Close (troy oz)
00:00:00 01-Dec-2023;30046.96;29955.57;29991.98;;934.56;931.72;932.85
29/11/2023 00:00;30536.62;29771.67;29971.89;;949.80;926.00;932.23
27/11/2023 00:00;30556.63;29437.06;30380.53;;950.42;915.59;944.94
25/11/2023 00:00;30054.52;29887.82;29906.14;;934.80;929.62;930.18
23/11/2023 00:00;30182.32;29318.27;30054.52;;938.78;911.90;934.80
21/11/2023 00:00;30335.84;29550.55;29801.97;;943.55;919.12;926.94
19/11/2023 00:00;29763.71;28853.53;29724.33;;925.75;897.45;924.53
17/11/2023 00:00;29313.44;28734.89;29031.32;;911.75;893.75;902.97
15/11/2023 00:00;29175.20;28450.03;28840.83;;907.45;884.89;897.05
13/11/2023 00:00;28730.71;27212.39;28585.47;;893.62;846.40;889.11
11/11/2023 00:00;27339.55;27156.93;27335.05;;850.36;844.67;850.22
09/11/2023 00:00;28215.50;27105.49;27198.25;;877.60;843.07;845.96
07/11/2023 00:00;29312.28;27948.48;28129.41;;911.71;869.29;874.92
05/11/2023 00:00;30136.50;29204.13;29260.39;;937.35;908.35;910.10
03/11/2023 00:00;30219.13;29733.81;30032.01;;939.92;924.82;934.10
01/11/2023 00:00;30105.56;29390.12;29746.57;;936.39;914.13;925.22
30/10/2023 00:00;30364.77;29040.64;30062.56;;944.45;903.26;935.05
28/10/2023 00:00;29220.21;29106.07;29139.51;;908.85;905.30;906.34
26/10/2023 00:00;29385.78;28836.81;29168.36;;914.00;896.93;907.24
24/10/2023 00:00;29304.28;28368.21;29065.88;;911.46;882.35;904.05
22/10/2023 00:00;29066.69;28647.92;28906.74;;904.08;891.05;899.10
20/10/2023 00:00;29205.74;28599.94;28908.34;;908.40;889.56;899.15
18/10/2023 00:00;29265.22;28245.23;28782.96;;910.25;878.52;895.25
16/10/2023 00:00;29094.82;28188.17;28926.83;;904.95;876.75;899.72
14/10/2023 00:00;28564.33;28402.29;28513.05;;888.45;883.41;886.85
12/10/2023 00:00;28887.45;27835.31;28461.93;;898.50;865.77;885.26
10/10/2023 00:00;28807.07;28216.62;28652.26;;896.00;877.63;891.18
08/10/2023 00:00;28731.51;28117.44;28690.04;;893.65;874.55;892.36
06/10/2023 00:00;28463.86;27511.63;28336.22;;885.33;855.71;881.35
04/10/2023 00:00;28342.49;27583.73;27729.05;;881.55;857.95;862.47
02/10/2023 00:00;29427.58;28024.68;28043.49;;915.30;871.66;872.25
30/09/2023 00:00;29390.77;29211.53;29377.58;;914.16;908.58;913.74
28/09/2023 00:00;29821.43;28615.77;29211.53;;927.55;890.05;908.58
26/09/2023 00:00;29441.00;28512.89;28705.79;;915.72;886.85;892.85
24/09/2023 00:00;29978.88;29372.12;29438.51;;932.45;913.58;915.64
22/09/2023 00:00;30334.23;29713.72;29940.38;;943.50;924.20;931.25
20/09/2023 00:00;30438.72;29443.65;29713.72;;946.75;915.80;924.20
18/09/2023 00:00;30615.31;29868.77;30334.23;;952.24;929.02;943.50
16/09/2023 00:00;29940.78;29841.44;29937.17;;931.26;928.17;931.15
14/09/2023 00:00;29985.39;28969.43;29892.32;;932.65;901.05;929.76
12/09/2023 00:00;29430.79;28790.03;29064.27;;915.40;895.47;904.00
10/09/2023 00:00;29211.36;28765.27;28991.13;;908.57;894.70;901.72
08/09/2023 00:00;29385.78;28723.96;28844.04;;914.00;893.42;897.15
06/09/2023 00:00;29985.39;29040.08;29234.67;;932.65;903.25;909.30
04/09/2023 00:00;31128.35;29888.94;29980.57;;968.20;929.65;932.50
02/09/2023 00:00;31061.80;30927.41;31036.72;;966.13;961.95;965.35
00:00:00 31-Aug-2023;31790.34;30982.07;31009.40;;988.79;963.65;964.50
00:00:00 29-Aug-2023;31768.15;31063.25;31478.80;;988.10;966.18;979.10
00:00:00 27-Aug-2023;31298.75;30195.98;31201.01;;973.50;939.20;970.46
00:00:00 25-Aug-2023;30601.88;30051.30;30465.24;;951.82;934.70;947.57
00:00:00 23-Aug-2023;30376.03;29705.68;30173.48;;944.80;923.95;938.50
00:00:00 21-Aug-2023;29879.62;29084.13;29707.29;;929.36;904.62;924.00
00:00:00 19-Aug-2023;29490.27;29386.75;29451.69;;917.25;914.03;916.05
00:00:00 17-Aug-2023;29436.42;28463.86;29409.90;;915.58;885.33;914.75
